category_name,department_name,list_price,unit_price
 clEANINg ,BEAuTy care,8085170,334.39
Rc , faSHiON,2797904,2749243
wEaRaBles, HOMe ANd LiVing,7279000,7215000
 BloCkS ,BEauTy cARe,393.16,389.37 VND
HAiRCare , FasHon,1268000,52.39 VND
mAKEuP,HoMe & livinG,340.97,8112960000
CamEraS,ToyZ ,381.18 VND,9101160
BoARD gAMes ,SpORTs-OutdOoRs,5844285,5791711
 SkINCArE,elECTroNiC ,216.26 VND,5188552
 mAkeUp ,BEautY CarE,374.78,8981304000
AUdIo ,Fashon,995000,902.66
 PhoneS,HoME AND livInG,5533474,5519000
WEARableS,HoMe&liViNG ,9463204,392.19
 ACCEsSoRiES ,SPorTS-OUTDOoRS,7484000,7445524000
lAPtOPS,toYz ,98.98 VND,96.21
rc , BEAuty/care ,7548431,311.45 VND
CaMeRAS , spOrtS & OuTDoORs,6684339,6679018
BOaRd gameS , HOme&lIVInG,398.58,398.14 VND
Furniture , hoME&LIviNG ,3276579000,133.05 VND
 LaPtOPS , tOYs,2877496,2857139
 cLotHING, fAsHOn,6074000,6066994000
aCcESSorIeS ,ToyZ,2597274,2561000
 CleAnIng ,FAsHon ,2724543,111.39
auDIo, ElEctroNIcs ,301.72,7203647000
PuzZLEs,beautY CaRe ,9023862000,8974354000
SkiNCAre ,ToyZ,1086000,1037200
 WearaBles,Fashon,4394715,4384574
audIO , bEAUTy caRe ,1245000,1178924
 Blocks,bEAUtY/cArE ,2063115,1987210
 phoNes, fAshoN ,378.98,9022300000
 TEaM SpoRts ,BeauTy CARe ,5198344,5128000
SkInCaRE , ELeCTroNics,85.38,1954491
weArablES,SPorts & ouTDoORS,5491000,5426956
lAPtOps ,SporTs & OUTDooRS ,146.92,3451605
 WEaRables,ELEctronIc,404883000,12.77
 cLEanIng , faShIon ,1864575,1848487
laptoPs , ELeCtRoNIC,5333117,5235732
ACCeSSORIES ,SporTS & OutdoOrS ,373.62 VND,8947638
 bloCKs, elEctRonIc ,5772409,238.53 VND
PhonES,BeAuTY/CARE,1105000,45.85
shoeS, Toyz,521331,506184000
 MAKEUP ,BeaUTY Care,9739260,405.70 VND
phoNES , ELectRoNiC ,1098165000,43.97
BOaRd GaMES, hOme & LiviNg ,8543404,8536949
aUdIo,fAShIOn ,5135735,211.26 VND
 wearabLes,ELECtRoNIC,8793617,8745000
 fITneSS,BEaUtY/CaRE,172.28 VND,4054118
 tEaM sPOrtS , tOYz,9752531,404.89 VND
sHOEs ,HOmE and Living,1071601,1031000
 PhONeS,hOMe & lIvINg,6699862,6653483000
 HAIrCARe ,BEauTy/cARE ,194.32 VND,4572000
 rC , tOyz ,6655840,6645614
rC , bEAuTy/CarE ,3480580000,3392000
 CAMErAs ,tOYS,212.71,5098879000
PHoNeS,HOMe&lIvinG ,2217142000,2175990000
PhoneS, hOME&liVing,811000,768114
sHoES ,bEaUty/CArE ,151.09,3625000
 Rc ,BeAutY/CAre,6688213,277.09 VND
 rc ,hOME & liVing ,7859032,7813563
accEsSoRiEs ,fASHOn ,50.49,1170984000
 pHoNES,hoME and LIVinG,2186468,87.73 VND
BoARD GaMes , homE & lIVinG,3426128000,141.16 VND
 sKincARE, SporTS-OutdOOrs,5500737,5466472
 KiTCHEn ,eLEctroNIcS ,9901024,9881528
 lapTopS, FAShiON,153466,114474000
 cyClINg,BeAUTy care,5929000,5919107000
 laPtopS,EleCtROnicS,270.24,6457270
WEaRaBLES, sPOrts-OUtdOORS ,303910000,246176
 audIo, ElECtROnIcS ,3745176,153.07 VND
deCOr ,electRONiC ,1057522,1037983
AUDiO, TOyS ,5636000,5592000
aUdIo ,faSHON ,4090514,4042573
 pHoNes,FAShON,109715,45402
 CLoTHinG , tOYS ,917000,855000
